company,period,metric,value
cloudcrm_inc,2023-05,accounts_receivable,3754598.187642046
cloudcrm_inc,2023-05,inventory,0.0
cloudcrm_inc,2023-05,accounts_payable,1388059.6597631467
cloudcrm_inc,2023-05,debt,5250000.0
cloudcrm_inc,2023-05,equity,-2266414.689717608
cloudcrm_inc,2023-05,operating_cash_flow,-407538.632495975
cloudcrm_inc,2023-05,investing_cash_flow,-176537.05648648037
cloudcrm_inc,2023-05,financing_cash_flow,-6982.209063713185
cloudcrm_inc,2023-05,net_cash_flow,-591057.8980461686
cloudcrm_inc,2023-05,total_assets,4371644.970045539
cloudcrm_inc,2023-05,total_liabilities_and_equity,4371644.970045539
cloudcrm_inc,2023-06,revenue,3302091.493422163
cloudcrm_inc,2023-06,cogs,924318.0565854335
cloudcrm_inc,2023-06,gross_profit,2377773.4368367298
cloudcrm_inc,2023-06,sales_marketing,1266150.171805015
cloudcrm_inc,2023-06,rd,774536.0186859634
cloudcrm_inc,2023-06,ga,579605.5495021077
cloudcrm_inc,2023-06,ebitda,-242518.30315635633
cloudcrm_inc,2023-06,net_income,-264393.3031563563
cloudcrm_inc,2023-06,cash,261219.28251209948
cloudcrm_inc,2023-06,accounts_receivable,3852440.075659191
cloudcrm_inc,2023-06,inventory,0.0
cloudcrm_inc,2023-06,accounts_payable,1386477.0848781504
cloudcrm_inc,2023-06,debt,5250000.0
cloudcrm_inc,2023-06,equity,-2522817.72670686
cloudcrm_inc,2023-06,operating_cash_flow,-214227.3832043148
cloudcrm_inc,2023-06,investing_cash_flow,-143941.38582449013
cloudcrm_inc,2023-06,financing_cash_flow,2341.2691374112605
cloudcrm_inc,2023-06,net_cash_flow,-355827.4998913937
cloudcrm_inc,2023-06,total_assets,4113659.3581712903
cloudcrm_inc,2023-06,total_liabilities_and_equity,4113659.3581712903
cloudcrm_inc,2023-07,revenue,3490003.404920746
cloudcrm_inc,2023-07,cogs,958723.3217870157
cloudcrm_inc,2023-07,gross_profit,2531280.0831337306
cloudcrm_inc,2023-07,sales_marketing,1664586.6590955958
cloudcrm_inc,2023-07,rd,790513.5844535015
cloudcrm_inc,2023-07,ga,755131.8150860268
cloudcrm_inc,2023-07,ebitda,-678951.9755013934
cloudcrm_inc,2023-07,net_income,-700826.9755013934
cloudcrm_inc,2023-07,cash,0.0
cloudcrm_inc,2023-07,accounts_receivable,4071670.6390742036
cloudcrm_inc,2023-07,inventory,0.0
cloudcrm_inc,2023-07,accounts_payable,1438084.9826805235
cloudcrm_inc,2023-07,debt,5250000.0
cloudcrm_inc,2023-07,equity,-2616414.34360632
cloudcrm_inc,2023-07,operating_cash_flow,-609943.2705940497
cloudcrm_inc,2023-07,investing_cash_flow,-168982.91481263662
cloudcrm_inc,2023-07,financing_cash_flow,49218.660752696975
cloudcrm_inc,2023-07,net_cash_flow,-729707.5246539894
cloudcrm_inc,2023-07,total_assets,4071670.6390742036
cloudcrm_inc,2023-07,total_liabilities_and_equity,4071670.6390742036
cloudcrm_inc,2023-08,revenue,3503323.6861723303
cloudcrm_inc,2023-08,cogs,963037.4487515519
cloudcrm_inc,2023-08,gross_profit,2540286.2374207783
cloudcrm_inc,2023-08,sales_marketing,1347107.5839956503
cloudcrm_inc,2023-08,rd,698982.5107266129
cloudcrm_inc,2023-08,ga,642231.5311023585
cloudcrm_inc,2023-08,ebitda,-148035.38840384316
cloudcrm_inc,2023-08,net_income,-169910.38840384316
cloudcrm_inc,2023-08,cash,0.0
cloudcrm_inc,2023-08,accounts_receivable,4087210.967201052
cloudcrm_inc,2023-08,inventory,0.0
cloudcrm_inc,2023-08,accounts_payable,1444556.173127328
cloudcrm_inc,2023-08,debt,5250000.0
cloudcrm_inc,2023-08,equity,-2607345.2059262763
cloudcrm_inc,2023-08,operating_cash_flow,-124871.89771538992
cloudcrm_inc,2023-08,investing_cash_flow,-189181.19871746047
cloudcrm_inc,2023-08,financing_cash_flow,-16712.111885747916
cloudcrm_inc,2023-08,net_cash_flow,-330765.20831859834
cloudcrm_inc,2023-08,total_assets,4087210.967201052
cloudcrm_inc,2023-08,total_liabilities_and_equity,4087210.967201052
cloudcrm_inc,2023-09,revenue,3707731.209871315
cloudcrm_inc,2023-09,cogs,1040824.2728450618
cloudcrm_inc,2023-09,gross_profit,2666906.937026253
cloudcrm_inc,2023-09,sales_marketing,1461188.774467685
cloudcrm_inc,2023-09,rd,845851.4646972141
cloudcrm_inc,2023-09,ga,609821.8184766592
cloudcrm_inc,2023-09,ebitda,-249955.12061530538
cloudcrm_inc,2023-09,net_income,-271830.1206153054
cloudcrm_inc,2023-09,cash,0.0
cloudcrm_inc,2023-09,accounts_receivable,4325686.411516534
cloudcrm_inc,2023-09,inventory,0.0
cloudcrm_inc,2023-09,accounts_payable,1561236.4092675927
cloudcrm_inc,2023-09,debt,5250000.0
cloudcrm_inc,2023-09,equity,-2485549.9977510585
cloudcrm_inc,2023-09,operating_cash_flow,-238126.32309628878
cloudcrm_inc,2023-09,investing_cash_flow,-184238.0839801242
cloudcrm_inc,2023-09,financing_cash_flow,-35149.837154346555
cloudcrm_inc,2023-09,net_cash_flow,-457514.24423075956
cloudcrm_inc,2023-09,total_assets,4325686.411516534
cloudcrm_inc,2023-09,total_liabilities_and_equity,4325686.411516534
cloudcrm_inc,2023-10,revenue,3775582.9037870644
cloudcrm_inc,2023-10,cogs,1077172.8660984938
cloudcrm_inc,2023-10,gross_profit,2698410.0376885706
cloudcrm_inc,2023-10,sales_marketing,1701601.353723824
cloudcrm_inc,2023-10,rd,844750.542705298
cloudcrm_inc,2023-10,ga,778812.9727146531
cloudcrm_inc,2023-10,ebitda,-626754.8314552046
cloudcrm_inc,2023-10,net_income,-648629.8314552046
cloudcrm_inc,2023-10,cash,0.0
cloudcrm_inc,2023-10,accounts_receivable,4404846.721084909
cloudcrm_inc,2023-10,inventory,0.0
cloudcrm_inc,2023-10,accounts_payable,1615759.2991477407
cloudcrm_inc,2023-10,debt,5250000.0
cloudcrm_inc,2023-10,equity,-2460912.5780628324
cloudcrm_inc,2023-10,operating_cash_flow,-461955.3877718809
cloudcrm_inc,2023-10,investing_cash_flow,-148032.41791429053
cloudcrm_inc,2023-10,financing_cash_flow,-44815.27638873486
cloudcrm_inc,2023-10,net_cash_flow,-654803.0820749062
cloudcrm_inc,2023-10,total_assets,4404846.721084909
cloudcrm_inc,2023-10,total_liabilities_and_equity,4404846.721084909
cloudcrm_inc,2023-11,revenue,4172497.1994132996
cloudcrm_inc,2023-11,cogs,1176942.162128923
cloudcrm_inc,2023-11,gross_profit,2995555.0372843766
cloudcrm_inc,2023-11,sales_marketing,1723616.0439759612
cloudcrm_inc,2023-11,rd,766961.3182084596
cloudcrm_inc,2023-11,ga,745453.9238916668
cloudcrm_inc,2023-11,ebitda,-240476.24879171094
cloudcrm_inc,2023-11,net_income,-262351.24879171094
cloudcrm_inc,2023-11,cash,0.0
cloudcrm_inc,2023-11,accounts_receivable,4867913.399315516
cloudcrm_inc,2023-11,inventory,0.0
cloudcrm_inc,2023-11,accounts_payable,1765413.2431933845
cloudcrm_inc,2023-11,debt,5250000.0
cloudcrm_inc,2023-11,equity,-2147499.843877868
cloudcrm_inc,2023-11,operating_cash_flow,-199485.6480249321
cloudcrm_inc,2023-11,investing_cash_flow,-180507.2072712473
cloudcrm_inc,2023-11,financing_cash_flow,16048.371658108203
cloudcrm_inc,2023-11,net_cash_flow,-363944.4836380712
cloudcrm_inc,2023-11,total_assets,4867913.399315516
cloudcrm_inc,2023-11,total_liabilities_and_equity,4867913.399315516
cloudcrm_inc,2023-12,revenue,4438597.36509128
cloudcrm_inc,2023-12,cogs,1240735.3726581458
cloudcrm_inc,2023-12,gross_profit,3197861.9924331345
cloudcrm_inc,2023-12,sales_marketing,1739750.069224869
cloudcrm_inc,2023-12,rd,988895.9117104149
cloudcrm_inc,2023-12,ga,912784.689146113
cloudcrm_inc,2023-12,ebitda,-443568.6776482626
cloudcrm_inc,2023-12,net_income,-465443.6776482626
cloudcrm_inc,2023-12,cash,0.0
cloudcrm_inc,2023-12,accounts_receivable,5178363.592606494
cloudcrm_inc,2023-12,inventory,0.0
cloudcrm_inc,2023-12,accounts_payable,1861103.0589872187
cloudcrm_inc,2023-12,debt,5250000.0
cloudcrm_inc,2023-12,equity,-1932739.4663807245
cloudcrm_inc,2023-12,operating_cash_flow,-376877.373885885
cloudcrm_inc,2023-12,investing_cash_flow,-184126.29491269073
cloudcrm_inc,2023-12,financing_cash_flow,-723.8470908210784
cloudcrm_inc,2023-12,net_cash_flow,-561727.5158893969
cloudcrm_inc,2023-12,total_assets,5178363.592606494
cloudcrm_inc,2023-12,total_liabilities_and_equity,5178363.592606494
cloudcrm_inc,2024-01,revenue,4152120.7817954225
cloudcrm_inc,2024-01,cogs,1157539.3970518983
cloudcrm_inc,2024-01,gross_profit,2994581.3847435242
cloudcrm_inc,2024-01,sales_marketing,1588360.2255231855
cloudcrm_inc,2024-01,rd,774260.4348949637
cloudcrm_inc,2024-01,ga,672169.1915899555
cloudcrm_inc,2024-01,ebitda,-40208.467264580075
cloudcrm_inc,2024-01,net_income,-62083.467264580075
cloudcrm_inc,2024-01,cash,0.0
cloudcrm_inc,2024-01,accounts_receivable,4844140.912094659
cloudcrm_inc,2024-01,inventory,0.0
cloudcrm_inc,2024-01,accounts_payable,1736309.0955778474
cloudcrm_inc,2024-01,debt,5250000.0
cloudcrm_inc,2024-01,equity,-2142168.183483188
cloudcrm_inc,2024-01,operating_cash_flow,-48802.90360541764
cloudcrm_inc,2024-01,investing_cash_flow,-144172.81501084525
cloudcrm_inc,2024-01,financing_cash_flow,999.9139692153204
cloudcrm_inc,2024-01,net_cash_flow,-191975.80464704757
cloudcrm_inc,2024-01,total_assets,4844140.912094659
cloudcrm_inc,2024-01,total_liabilities_and_equity,4844140.912094659
cloudcrm_inc,2024-02,revenue,4369263.388106129
cloudcrm_inc,2024-02,cogs,1204990.889493585
cloudcrm_inc,2024-02,gross_profit,3164272.498612544
cloudcrm_inc,2024-02,sales_marketing,1839627.1955526844
cloudcrm_inc,2024-02,rd,984539.525507786
cloudcrm_inc,2024-02,ga,759062.9089618842
cloudcrm_inc,2024-02,ebitda,-418957.1314098104
cloudcrm_inc,2024-02,net_income,-440832.1314098104
cloudcrm_inc,2024-02,cash,0.0
cloudcrm_inc,2024-02,accounts_receivable,5097473.952790485
cloudcrm_inc,2024-02,inventory,0.0
cloudcrm_inc,2024-02,accounts_payable,1807486.3342403779
cloudcrm_inc,2024-02,debt,5250000.0
cloudcrm_inc,2024-02,equity,-1960012.3814498931
cloudcrm_inc,2024-02,operating_cash_flow,-316170.1865192292
cloudcrm_inc,2024-02,investing_cash_flow,-142019.91879662135
cloudcrm_inc,2024-02,financing_cash_flow,-39524.18315369949
cloudcrm_inc,2024-02,net_cash_flow,-497714.2884695501
cloudcrm_inc,2024-02,total_assets,5097473.952790485
cloudcrm_inc,2024-02,total_liabilities_and_equity,5097473.952790485
cloudcrm_inc,2024-03,revenue,4654015.485924432
cloudcrm_inc,2024-03,cogs,1327215.4859616058
cloudcrm_inc,2024-03,gross_profit,3326799.9999628263
cloudcrm_inc,2024-03,sales_marketing,2063312.973815506
cloudcrm_inc,2024-03,rd,1081070.2523927868
cloudcrm_inc,2024-03,ga,969060.615237521
cloudcrm_inc,2024-03,ebitda,-786643.8414829876
cloudcrm_inc,2024-03,net_income,-808518.8414829876
cloudcrm_inc,2024-03,cash,0.0
cloudcrm_inc,2024-03,accounts_receivable,5429684.733578504
cloudcrm_inc,2024-03,inventory,0.0
cloudcrm_inc,2024-03,accounts_payable,1990823.2289424087
cloudcrm_inc,2024-03,debt,5250000.0
cloudcrm_inc,2024-03,equity,-1811138.4953639046
cloudcrm_inc,2024-03,operating_cash_flow,-597197.8341268355
cloudcrm_inc,2024-03,investing_cash_flow,-194765.57903453973
cloudcrm_inc,2024-03,financing_cash_flow,4589.928223492585
cloudcrm_inc,2024-03,net_cash_flow,-787373.4849378826
cloudcrm_inc,2024-03,total_assets,5429684.733578504
cloudcrm_inc,2024-03,total_liabilities_and_equity,5429684.733578504
cloudcrm_inc,2024-04,revenue,4754984.694234917
cloudcrm_inc,2024-04,cogs,1363036.9699391944
cloudcrm_inc,2024-04,gross_profit,3391947.7242957223
cloudcrm_inc,2024-04,sales_marketing,1958104.3494297415
cloudcrm_inc,2024-04,rd,887294.9579642969
cloudcrm_inc,2024-04,ga,825827.2436274796
cloudcrm_inc,2024-04,ebitda,-279278.82672579587
cloudcrm_inc,2024-04,net_income,-301153.82672579587
cloudcrm_inc,2024-04,cash,0.0
cloudcrm_inc,2024-04,accounts_receivable,5547482.14327407
cloudcrm_inc,2024-04,inventory,0.0
cloudcrm_inc,2024-04,accounts_payable,2044555.4549087915
cloudcrm_inc,2024-04,debt,5250000.0
cloudcrm_inc,2024-04,equity,-1747073.3116347217
cloudcrm_inc,2024-04,operating_cash_flow,-236866.2445684815
cloudcrm_inc,2024-04,investing_cash_flow,-188242.95868488483
cloudcrm_inc,2024-04,financing_cash_flow,42085.23471324006
cloudcrm_inc,2024-04,net_cash_flow,-383023.9685401262
cloudcrm_inc,2024-04,total_assets,5547482.14327407
cloudcrm_inc,2024-04,total_liabilities_and_equity,5547482.14327407
cloudcrm_inc,2024-05,revenue,4643957.906500413
cloudcrm_inc,2024-05,cogs,1301146.7021691971
cloudcrm_inc,2024-05,gross_profit,3342811.204331216
cloudcrm_inc,2024-05,sales_marketing,1958547.9173034609
cloudcrm_inc,2024-05,rd,897799.982521937
cloudcrm_inc,2024-05,ga,776432.2482607561
cloudcrm_inc,2024-05,ebitda,-289968.94375493797
cloudcrm_inc,2024-05,net_income,-311843.94375493797
cloudcrm_inc,2024-05,cash,0.0
cloudcrm_inc,2024-05,accounts_receivable,5417950.890917149
cloudcrm_inc,2024-05,inventory,0.0
cloudcrm_inc,2024-05,accounts_payable,1951720.0532537957
cloudcrm_inc,2024-05,debt,5250000.0
cloudcrm_inc,2024-05,equity,-1783769.1623366463
cloudcrm_inc,2024-05,operating_cash_flow,-239888.99774628377
cloudcrm_inc,2024-05,investing_cash_flow,-199171.2657590121
cloudcrm_inc,2024-05,financing_cash_flow,-20626.324597578558
cloudcrm_inc,2024-05,net_cash_flow,-459686.5881028744
cloudcrm_inc,2024-05,total_assets,5417950.890917149
cloudcrm_inc,2024-05,total_liabilities_and_equity,5417950.890917149
cloudcrm_inc,2024-06,revenue,4944744.214441576
cloudcrm_inc,2024-06,cogs,1401393.5106602786
cloudcrm_inc,2024-06,gross_profit,3543350.7037812974
cloudcrm_inc,2024-06,sales_marketing,2058808.3387442695
cloudcrm_inc,2024-06,rd,1178366.7884734308
cloudcrm_inc,2024-06,ga,1076702.4159128491
cloudcrm_inc,2024-06,ebitda,-770526.8393492522
cloudcrm_inc,2024-06,net_income,-792401.8393492522
cloudcrm_inc,2024-06,cash,0.0
cloudcrm_inc,2024-06,accounts_receivable,5768868.250181838
cloudcrm_inc,2024-06,inventory,0.0
cloudcrm_inc,2024-06,accounts_payable,2102090.265990418
cloudcrm_inc,2024-06,debt,5250000.0
cloudcrm_inc,2024-06,equity,-1583222.01580858
cloudcrm_inc,2024-06,operating_cash_flow,-596503.6807867169
cloudcrm_inc,2024-06,investing_cash_flow,-160175.9109322504
cloudcrm_inc,2024-06,financing_cash_flow,-23230.863854710205
cloudcrm_inc,2024-06,net_cash_flow,-779910.4555736776
cloudcrm_inc,2024-06,total_assets,5768868.250181838
cloudcrm_inc,2024-06,total_liabilities_and_equity,5768868.250181838
cloudcrm_inc,2024-07,revenue,4954884.156053703
cloudcrm_inc,2024-07,cogs,1348817.0820411902
cloudcrm_inc,2024-07,gross_profit,3606067.0740125133
cloudcrm_inc,2024-07,sales_marketing,2184888.045353649
cloudcrm_inc,2024-07,rd,1041322.1277563007
cloudcrm_inc,2024-07,ga,808085.7399051127
cloudcrm_inc,2024-07,ebitda,-428228.83900254965
cloudcrm_inc,2024-07,net_income,-450103.83900254965
cloudcrm_inc,2024-07,cash,0.0
cloudcrm_inc,2024-07,accounts_receivable,5780698.182062654
cloudcrm_inc,2024-07,inventory,0.0
cloudcrm_inc,2024-07,accounts_payable,2023225.6230617855
cloudcrm_inc,2024-07,debt,5250000.0
cloudcrm_inc,2024-07,equity,-1492527.4409991316
cloudcrm_inc,2024-07,operating_cash_flow,-342412.440471231
cloudcrm_inc,2024-07,investing_cash_flow,-196139.93168874885
cloudcrm_inc,2024-07,financing_cash_flow,-30384.44608885322
cloudcrm_inc,2024-07,net_cash_flow,-568936.8182488331
cloudcrm_inc,2024-07,total_assets,5780698.182062654
cloudcrm_inc,2024-07,total_liabilities_and_equity,5780698.182062654
cloudcrm_inc,2024-08,revenue,5103520.716347351
cloudcrm_inc,2024-08,cogs,1428081.4892293396
cloudcrm_inc,2024-08,gross_profit,3675439.227118011
cloudcrm_inc,2024-08,sales_marketing,2442366.6233750554
cloudcrm_inc,2024-08,rd,992753.7745021246
cloudcrm_inc,2024-08,ga,1022378.7760383382
cloudcrm_inc,2024-08,ebitda,-782059.9467975073
cloudcrm_inc,2024-08,net_income,-803934.9467975073
cloudcrm_inc,2024-08,cash,0.0
cloudcrm_inc,2024-08,accounts_receivable,5954107.502405242
cloudcrm_inc,2024-08,inventory,0.0
cloudcrm_inc,2024-08,accounts_payable,2142122.233844009
cloudcrm_inc,2024-08,debt,5250000.0
cloudcrm_inc,2024-08,equity,-1438014.7314387672
cloudcrm_inc,2024-08,operating_cash_flow,-685628.3282698444
cloudcrm_inc,2024-08,investing_cash_flow,-137459.95176600164
cloudcrm_inc,2024-08,financing_cash_flow,26625.24067138362
cloudcrm_inc,2024-08,net_cash_flow,-796463.0393644625
cloudcrm_inc,2024-08,total_assets,5954107.502405242
cloudcrm_inc,2024-08,total_liabilities_and_equity,5954107.502405242
cloudcrm_inc,2024-09,revenue,5414229.873858535
cloudcrm_inc,2024-09,cogs,1528018.778912545
cloudcrm_inc,2024-09,gross_profit,3886211.0949459895
cloudcrm_inc,2024-09,sales_marketing,2400414.9006641023
cloudcrm_inc,2024-09,rd,1148609.8153050167
cloudcrm_inc,2024-09,ga,895607.7540373092
cloudcrm_inc,2024-09,ebitda,-558421.3750604391
cloudcrm_inc,2024-09,net_income,-580296.3750604391
cloudcrm_inc,2024-09,cash,0.0
cloudcrm_inc,2024-09,accounts_receivable,6316601.519501624
cloudcrm_inc,2024-09,inventory,0.0
cloudcrm_inc,2024-09,accounts_payable,2292028.1683688173
cloudcrm_inc,2024-09,debt,5250000.0
cloudcrm_inc,2024-09,equity,-1225426.6488671936
cloudcrm_inc,2024-09,operating_cash_flow,-504307.9829336432
cloudcrm_inc,2024-09,investing_cash_flow,-144734.92235169353
cloudcrm_inc,2024-09,financing_cash_flow,-36572.84045335034
cloudcrm_inc,2024-09,net_cash_flow,-685615.7457386871
cloudcrm_inc,2024-09,total_assets,6316601.519501624
cloudcrm_inc,2024-09,total_liabilities_and_equity,6316601.519501624
cloudcrm_inc,2024-10,revenue,5490670.816102006
cloudcrm_inc,2024-10,cogs,1545772.090781857
cloudcrm_inc,2024-10,gross_profit,3944898.7253201483
cloudcrm_inc,2024-10,sales_marketing,2458483.196878582
cloudcrm_inc,2024-10,rd,993785.4453901614
cloudcrm_inc,2024-10,ga,1047211.3951962581
cloudcrm_inc,2024-10,ebitda,-554581.3121448532
cloudcrm_inc,2024-10,net_income,-576456.3121448532
cloudcrm_inc,2024-10,cash,0.0
cloudcrm_inc,2024-10,accounts_receivable,6405782.618785674
cloudcrm_inc,2024-10,inventory,0.0
cloudcrm_inc,2024-10,accounts_payable,2318658.1361727854
cloudcrm_inc,2024-10,debt,5250000.0
cloudcrm_inc,2024-10,equity,-1162875.5173871117
cloudcrm_inc,2024-10,operating_cash_flow,-433764.6057553693
cloudcrm_inc,2024-10,investing_cash_flow,-173119.28582749353
cloudcrm_inc,2024-10,financing_cash_flow,-37990.583282750995
cloudcrm_inc,2024-10,net_cash_flow,-644874.4748656139
cloudcrm_inc,2024-10,total_assets,6405782.618785674
cloudcrm_inc,2024-10,total_liabilities_and_equity,6405782.618785674
cloudcrm_inc,2024-11,revenue,5969143.340033981
cloudcrm_inc,2024-11,cogs,1660001.7735942192
cloudcrm_inc,2024-11,gross_profit,4309141.566439762
cloudcrm_inc,2024-11,sales_marketing,2827422.026580711
cloudcrm_inc,2024-11,rd,1123698.734877971
cloudcrm_inc,2024-11,ga,1077215.3706783175
cloudcrm_inc,2024-11,ebitda,-719194.5656972378
cloudcrm_inc,2024-11,net_income,-741069.5656972378
cloudcrm_inc,2024-11,cash,0.0
cloudcrm_inc,2024-11,accounts_receivable,6964000.563372978
cloudcrm_inc,2024-11,inventory,0.0
cloudcrm_inc,2024-11,accounts_payable,2490002.660391329
cloudcrm_inc,2024-11,debt,5250000.0
cloudcrm_inc,2024-11,equity,-776002.0970183508
cloudcrm_inc,2024-11,operating_cash_flow,-542128.0934683271
cloudcrm_inc,2024-11,investing_cash_flow,-197577.35826604092
cloudcrm_inc,2024-11,financing_cash_flow,44022.92456111445
cloudcrm_inc,2024-11,net_cash_flow,-695682.5271732536
cloudcrm_inc,2024-11,total_assets,6964000.563372978
cloudcrm_inc,2024-11,total_liabilities_and_equity,6964000.563372978
cloudcrm_inc,2024-12,revenue,6121703.685714613
cloudcrm_inc,2024-12,cogs,1730530.5307277094
cloudcrm_inc,2024-12,gross_profit,4391173.154986903
cloudcrm_inc,2024-12,sales_marketing,2826526.6160735115
cloudcrm_inc,2024-12,rd,1305833.1547094407
cloudcrm_inc,2024-12,ga,1174014.4235741086
cloudcrm_inc,2024-12,ebitda,-915201.0393701578
cloudcrm_inc,2024-12,net_income,-937076.0393701578
cloudcrm_inc,2024-12,cash,0.0
cloudcrm_inc,2024-12,accounts_receivable,7141987.633333715
cloudcrm_inc,2024-12,inventory,0.0
cloudcrm_inc,2024-12,accounts_payable,2595795.796091564
cloudcrm_inc,2024-12,debt,5250000.0
cloudcrm_inc,2024-12,equity,-703808.1627578493
cloudcrm_inc,2024-12,operating_cash_flow,-707640.3803465506
cloudcrm_inc,2024-12,investing_cash_flow,-124813.15884968285
cloudcrm_inc,2024-12,financing_cash_flow,46341.838427888135
cloudcrm_inc,2024-12,net_cash_flow,-786111.7007683454
cloudcrm_inc,2024-12,total_assets,7141987.633333715
cloudcrm_inc,2024-12,total_liabilities_and_equity,7141987.633333715
cloudcrm_inc,2025-01,revenue,6202155.490039176
cloudcrm_inc,2025-01,cogs,1750472.204901491
cloudcrm_inc,2025-01,gross_profit,4451683.285137685
cloudcrm_inc,2025-01,sales_marketing,2567090.6341988402
